open_time,open,high,low,close,volume
2026-02-16 07:35:00,68595.32,68646.0,68490.0,68490.01,27.6875
2026-02-16 07:40:00,68490.01,68502.01,68440.79,68499.12,28.89009
2026-02-16 07:45:00,68499.12,68591.93,68499.11,68581.62,42.13085
2026-02-16 07:50:00,68581.62,68611.22,68549.19,68558.8,22.2434
2026-02-16 07:55:00,68558.81,68589.11,68540.32,68587.9,24.81258
2026-02-16 08:00:00,68587.89,68637.13,68579.55,68631.97,23.62411
2026-02-16 08:05:00,68631.97,68669.77,68630.8,68639.47,23.6063
2026-02-16 08:10:00,68639.47,68646.65,68548.19,68549.91,16.14618
2026-02-16 08:15:00,68549.9,68667.49,68542.63,68667.48,19.34833
2026-02-16 08:20:00,68667.49,68734.0,68667.48,68723.33,41.06915
2026-02-16 08:25:00,68723.33,68746.76,68708.49,68735.38,24.39358
2026-02-16 08:30:00,68735.38,68750.0,68663.45,68730.62,21.51979
2026-02-16 08:35:00,68730.62,68760.0,68633.89,68736.03,30.52946
2026-02-16 08:40:00,68736.02,68770.0,68710.51,68766.18,17.85777
2026-02-16 08:45:00,68766.18,68777.09,68726.92,68733.91,29.19251
2026-02-16 08:50:00,68733.9,68753.61,68681.49,68751.59,14.87816
2026-02-16 08:55:00,68751.59,68798.7,68742.65,68762.85,39.65361
2026-02-16 09:00:00,68762.86,68959.97,68748.02,68957.04,51.33418
2026-02-16 09:05:00,68957.03,68957.63,68812.29,68859.03,54.95221
2026-02-16 09:10:00,68859.02,68903.4,68841.02,68886.01,24.24613
2026-02-16 09:15:00,68886.01,68904.14,68803.35,68819.4,24.64237
2026-02-16 09:20:00,68819.39,68858.29,68819.39,68839.34,15.93822
2026-02-16 09:25:00,68839.34,68974.35,68839.34,68964.62,25.12419
2026-02-16 09:30:00,68964.62,68999.99,68876.27,68974.83,48.81115
2026-02-16 09:35:00,68974.84,69056.9,68974.83,69054.0,63.0032
2026-02-16 09:40:00,69054.0,69060.77,69001.79,69029.54,44.7195
2026-02-16 09:45:00,69029.54,69041.76,68941.47,68975.71,38.41665
2026-02-16 09:50:00,68975.72,69046.03,68975.72,68998.0,26.78203
2026-02-16 09:55:00,68998.01,69029.01,68979.37,68992.71,35.11498
2026-02-16 10:00:00,68992.7,68992.71,68919.69,68919.94,41.76294
2026-02-16 10:05:00,68919.94,68960.78,68885.44,68960.77,38.72964
2026-02-16 10:10:00,68960.78,68963.87,68923.15,68945.91,17.44213
2026-02-16 10:15:00,68945.92,68945.92,68890.0,68907.43,24.63664
2026-02-16 10:20:00,68907.43,68931.12,68757.98,68778.1,62.04086
2026-02-16 10:25:00,68778.1,68797.4,68690.85,68797.39,32.20392
2026-02-16 10:30:00,68797.39,68887.83,68773.81,68887.83,38.97294
2026-02-16 10:35:00,68887.82,68933.59,68799.89,68799.89,18.62282
2026-02-16 10:40:00,68799.89,68799.89,68747.0,68785.32,17.43076
2026-02-16 10:45:00,68785.32,68834.0,68765.47,68819.31,19.33932
2026-02-16 10:50:00,68819.32,68840.0,68805.38,68814.22,16.52314
2026-02-16 10:55:00,68814.21,68823.99,68798.21,68798.22,30.97863
2026-02-16 11:00:00,68798.21,68816.17,68758.72,68816.16,28.70124
2026-02-16 11:05:00,68816.16,68848.49,68672.31,68697.98,31.38614
2026-02-16 11:10:00,68697.99,68705.86,68470.0,68515.88,81.89407
2026-02-16 11:15:00,68515.88,68607.36,68476.69,68597.7,44.23709
2026-02-16 11:20:00,68597.7,68597.7,68338.9,68420.35,61.72754
2026-02-16 11:25:00,68420.36,68686.3,68420.35,68666.03,48.90782
2026-02-16 11:30:00,68666.04,68717.53,68643.04,68688.0,25.23089
2026-02-16 11:35:00,68687.99,68687.99,68629.08,68640.62,13.66724
2026-02-16 11:40:00,68640.62,68640.62,68561.09,68585.81,17.2933
2026-02-16 11:45:00,68585.81,68682.4,68585.81,68634.47,26.4037
2026-02-16 11:50:00,68634.47,68818.72,68624.6,68818.71,54.07652
2026-02-16 11:55:00,68818.72,68918.22,68812.83,68812.83,61.98204
2026-02-16 12:00:00,68812.84,68956.6,68812.84,68930.66,48.99575
2026-02-16 12:05:00,68930.66,68983.99,68866.93,68971.3,83.33314
2026-02-16 12:10:00,68971.31,68979.74,68892.69,68897.93,39.33634
2026-02-16 12:15:00,68897.94,68928.11,68812.08,68825.77,55.97333
2026-02-16 12:20:00,68825.78,68919.55,68807.54,68886.98,49.77499
2026-02-16 12:25:00,68886.98,69619.23,68886.77,69505.01,492.46507
2026-02-16 12:30:00,69505.01,69554.74,69298.76,69470.33,173.47838
2026-02-16 12:35:00,69470.33,69552.0,69310.75,69531.31,143.07725
2026-02-16 12:40:00,69531.31,69550.39,69336.0,69436.93,93.14565
2026-02-16 12:45:00,69436.93,69584.04,69368.58,69537.54,93.20257
2026-02-16 12:50:00,69537.53,69848.48,69504.0,69736.15,255.99395
2026-02-16 12:55:00,69736.15,69817.61,69696.94,69763.24,73.50387
2026-02-16 13:00:00,69763.24,70126.67,69671.17,69936.59,219.4076
2026-02-16 13:05:00,69936.6,70050.0,69717.4,69739.44,92.78977
2026-02-16 13:10:00,69739.45,69747.83,69623.75,69662.0,64.84819
2026-02-16 13:15:00,69662.01,69754.97,69609.39,69609.4,53.61573
2026-02-16 13:20:00,69609.4,69625.92,69270.55,69291.63,128.6992
2026-02-16 13:25:00,69291.63,69291.63,68520.07,68611.0,355.98108
2026-02-16 13:30:00,68611.01,68899.28,68573.66,68583.04,163.8351
2026-02-16 13:35:00,68583.04,68730.0,68286.25,68341.5,230.43447
2026-02-16 13:40:00,68341.51,68506.0,68272.02,68430.65,110.13763
2026-02-16 13:45:00,68430.65,68490.9,68276.0,68321.41,131.06642
2026-02-16 13:50:00,68321.4,68418.8,68225.0,68278.0,95.31816
2026-02-16 13:55:00,68278.0,68445.05,68245.93,68395.1,74.48731
2026-02-16 14:00:00,68395.11,68444.22,68268.72,68424.69,105.82038
2026-02-16 14:05:00,68424.7,68563.56,68414.12,68464.29,98.43682
2026-02-16 14:10:00,68464.29,68464.29,68260.39,68413.82,84.87809
2026-02-16 14:15:00,68413.81,68534.85,68372.01,68486.0,94.93548
2026-02-16 14:20:00,68486.01,68647.33,68486.0,68643.29,238.11403
2026-02-16 14:25:00,68643.3,68643.3,68263.2,68316.81,99.78011
2026-02-16 14:30:00,68316.8,68557.66,68287.35,68466.37,91.06353
2026-02-16 14:35:00,68466.37,68630.0,68417.25,68530.05,73.41961
2026-02-16 14:40:00,68530.06,68576.56,68450.53,68504.81,41.21634
2026-02-16 14:45:00,68504.81,68604.23,68393.3,68596.55,37.34984
2026-02-16 14:50:00,68596.55,68718.3,68300.0,68301.2,81.31287
2026-02-16 14:55:00,68301.19,68470.92,68290.01,68427.64,46.2733
2026-02-16 15:00:00,68427.64,68585.86,68387.44,68518.64,110.15365
2026-02-16 15:05:00,68518.65,68607.22,68484.96,68497.01,135.54038
2026-02-16 15:10:00,68497.01,68563.16,68323.52,68338.8,103.96887
2026-02-16 15:15:00,68338.8,68397.36,68300.0,68316.81,57.1078
2026-02-16 15:20:00,68316.81,68398.29,68307.12,68325.64,43.00864
2026-02-16 15:25:00,68325.65,68401.46,68243.06,68243.07,53.00907
2026-02-16 15:30:00,68243.06,68257.28,67418.0,67440.91,779.3039
2026-02-16 15:35:00,67440.91,67515.98,67300.0,67412.0,417.88648
2026-02-16 15:40:00,67412.0,67502.88,67294.11,67449.07,137.66224
2026-02-16 15:45:00,67449.07,67572.0,67360.0,67485.45,159.78001
2026-02-16 15:50:00,67485.45,67709.99,67485.44,67634.51,96.77554
2026-02-16 15:55:00,67634.51,67687.97,67500.0,67539.52,53.87364
2026-02-16 16:00:00,67539.53,67677.0,67513.94,67674.3,102.48674
2026-02-16 16:05:00,67674.3,67820.7,67674.29,67730.06,131.8685
2026-02-16 16:10:00,67730.06,67838.15,67677.0,67739.99,140.03267
2026-02-16 16:15:00,67739.99,67778.0,67588.01,67606.48,59.95854
2026-02-16 16:20:00,67606.48,67767.25,67579.0,67701.96,52.31712
2026-02-16 16:25:00,67701.96,67805.9,67648.0,67777.47,37.25342
2026-02-16 16:30:00,67777.47,67831.51,67660.17,67669.99,69.16611
2026-02-16 16:35:00,67669.99,67722.84,67656.63,67667.14,34.92755
2026-02-16 16:40:00,67667.14,67927.66,67609.75,67927.66,88.02562
2026-02-16 16:45:00,67927.65,67974.86,67853.0,67923.6,94.12564
2026-02-16 16:50:00,67923.6,67937.48,67831.06,67859.81,56.30818
2026-02-16 16:55:00,67859.8,67888.7,67800.67,67888.7,29.1111
2026-02-16 17:00:00,67888.7,67963.24,67850.68,67879.73,47.81014
2026-02-16 17:05:00,67879.73,67989.8,67775.88,67775.88,57.64403
2026-02-16 17:10:00,67775.89,67802.0,67709.82,67749.28,49.60973
2026-02-16 17:15:00,67749.28,67773.57,67600.93,67689.62,75.98896
2026-02-16 17:20:00,67689.62,67853.93,67687.52,67833.29,31.35797
2026-02-16 17:25:00,67833.28,67973.04,67829.22,67929.61,39.97052
2026-02-16 17:30:00,67929.61,68068.24,67891.17,68054.82,51.36681
2026-02-16 17:35:00,68054.83,68054.83,67992.35,68033.54,24.74071
2026-02-16 17:40:00,68033.55,68074.12,67992.66,68027.23,34.14145
2026-02-16 17:45:00,68027.22,68027.22,67905.84,67960.22,30.84818
2026-02-16 17:50:00,67960.22,67969.38,67895.46,67960.72,30.72114
2026-02-16 17:55:00,67960.72,67996.4,67937.06,67951.86,27.56364
